- PID: 0	Name: Idle	Virtual memory: 0,01 MB
- PID: 56092	Name: steamwebhelper	Virtual memory: 4.378,27 MB
- PID: 22008	Name: steamwebhelper	Virtual memory: 5.047,97 MB
- PID: 63024	Name: GyStation	Virtual memory: 87,78 MB
- PID: 35820	Name: steamwebhelper	Virtual memory: 4.415,50 MB
- PID: 22560	Name: Razer Synapse 3	Virtual memory: 816,28 MB
- PID: 65368	Name: Razer Central	Virtual memory: 591,95 MB
- PID: 50944	Name: Discord	Virtual memory: 275,34 MB
- PID: 64224	Name: CefSharp.BrowserSubprocess	Virtual memory: 446,64 MB
- PID: 15444	Name: AdobeCollabSync	Virtual memory: 149,87 MB
- PID: 60948	Name: AdobeCollabSync	Virtual memory: 177,67 MB
- PID: 41980	Name: Xtreme	Virtual memory: 249,00 MB
- PID: 36952	Name: CefSharp.BrowserSubprocess	Virtual memory: 481,47 MB
- PID: 40552	Name: acrotray	Virtual memory: 135,74 MB
- PID: 50500	Name: jusched	Virtual memory: 92,35 MB
- PID: 57164	Name: iCUEDevicePluginHost	Virtual memory: 4.204,55 MB
- PID: 17248	Name: iCUEDevicePluginHost	Virtual memory: 4.225,07 MB
- PID: 35448	Name: iCUEDevicePluginHost	Virtual memory: 4.226,88 MB
- PID: 57736	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 27392	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 20628	Name: iCUEDevicePluginHost	Virtual memory: 4.226,99 MB
- PID: 49300	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 55176	Name: iCUEDevicePluginHost	Virtual memory: 4.236,99 MB
- PID: 30312	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 61172	Name: iCUEDevicePluginHost	Virtual memory: 4.226,96 MB
- PID: 39496	Name: conhost	Virtual memory: 2.101.347,97 MB
- PID: 46236	Name: iCUEDevicePluginHost	Virtual memory: 4.234,80 MB
- PID: 49388	Name: iCUEDevicePluginHost	Virtual memory: 4.207,17 MB
- PID: 16456	Name: conhost	Virtual memory: 2.101.327,86 MB
- PID: 48760	Name: conhost	Virtual memory: 2.101.327,86 MB
- PID: 52396	Name: steamwebhelper	Virtual memory: 8.607,91 MB
- PID: 50136	Name: steamwebhelper	Virtual memory: 8.604,36 MB
- PID: 10504	Name: AcrobatNotificationClient	Virtual memory: 294,31 MB
- PID: 56152	Name: firefox	Virtual memory: 2.104.789,43 MB
- PID: 50148	Name: firefox	Virtual memory: 2.103.382,28 MB
- PID: 20672	Name: firefox	Virtual memory: 2.101.467,40 MB
